ID,Anger,Disgust,Fear,Happiness,Sadness,Surprise
1,3,0.5,1,1.5,0.5,0.5
2,2,0.5,1.5,1.5,1.5,0
3,1,0,0.5,1.5,1,0
4,0.5,0.5,0.5,3,1,1.5
5,0,0,1,3,1,0.5
6,2,0,2,2,1.5,0.5
7,0.5,0.5,1.5,2,2.5,0.5
8,0,0.5,0.5,2.5,0.5,0.5
9,2.166666667,1.333333333,1.166666667,2.333333333,2.166666667,0.666666667
10,0.5,0,0.5,2.5,0.5,0
11,0.5,0.5,1,1.5,0.5,1
12,0.5,1,1.5,1.5,0.5,0.5
13,0.25,0,1.5,2.25,1.25,1.25
14,0,0.5,1,0.5,1,1
15,2.5,2.5,1.5,1.25,1.25,0.5
16,0,0,1,1,1,0
17,0.5,0.5,0,2,0.5,0.5
18,0,0.5,0.5,3,1,0.5
19,0,0,1,2.5,1,0.5
20,0,0,1,1.5,0.5,0.5
21,0.5,0,0.5,1,0.5,0.5
22,0.5,0.5,0.5,2,0.5,1
23,0.5,0.5,1.5,2,2,0.5
24,0.5,0,0,1.5,1,0
25,0.5,0,1,1,1,0
26,0,0.5,1,2.5,1.5,0.5
27,0,0,0.5,0.5,1,0.5
28,1.25,1.5,1.25,2.25,2.5,0.25
29,0,0,1,2,0.5,0
30,1.333333333,1,0.666666667,2.666666667,1,0.333333333
31,0,0.5,0,1.5,0,0
32,0.5,0.5,1,2.5,1.5,0.5
33,1,0,0.5,1,0.5,0
34,1.333333333,2,1,3.333333333,1,0
35,0.5,0,1,2.5,1,0.5
36,0.5,0.5,2,2.5,2,1
37,0.5,0.25,0.5,2.5,1.75,1
38,0.333333333,0.333333333,0.666666667,3.333333333,0.666666667,0
39,2.833333333,1.666666667,1,0.5,1.333333333,0.166666667
40,0,0.5,2.5,2.5,1.5,1
41,0,0,1,2.5,0.5,0.5
42,0,0.333333333,1.333333333,3,1.333333333,0.333333333
43,0.5,1,1,1.5,1,0.5
44,0.5,0,0.5,1.5,1.5,0.5
45,0,0,0,1,0,1
46,0.5,1.5,2,1.5,2.5,1.5
47,0.5,0.5,1,0.5,1,0
48,0.5,1,0,1,0.5,0
49,0.5,0.5,0,1,0.5,0
50,0.833333333,0.666666667,0.833333333,2.166666667,2.333333333,0.5
51,1.166666667,1,0.333333333,2.333333333,1.166666667,0.333333333
52,0.333333333,0.333333333,1,2,1,1
53,0.5,0.5,1,1.5,1.5,0
54,0.5,0,0.5,3.5,1.5,1
55,1,1,2,2,2,1
56,0.333333333,0.666666667,1,2.666666667,1.666666667,0.333333333
57,0,0,0.5,2,0.5,0
58,1.5,0.5,2,3,3,2
59,0,0,1,2,0,0
60,0.5,1,0.5,2.5,1.5,0.5
61,0.5,1,1,2.5,1,0
62,0,0,0.5,1,3,0.5
63,1.5,1,1,1.5,1.5,0
64,0.333333333,0,0.666666667,3,0.333333333,0.333333333
65,1,1,1,1,1,0
66,0,0,0,1,1,0
67,0,0,0,1,0.5,0
68,0.5,0.5,0.5,2.5,1.5,0.5
69,0.75,1.5,1.5,3,1.25,0.5
70,0,0,1,2,1,1
71,0.5,0.5,0.5,1.5,1,0
72,0.5,0.5,0.5,1.5,1,0.5
73,0,0.5,0.5,1.5,0.5,0
74,1,1,0,1.5,0,0.5
75,1,1,1,1,1.5,0.5
76,0.25,0.25,0.5,1.75,1,1
77,0,0,0,2.333333333,0.333333333,0
78,0,0,0.5,2.5,0.5,0.5
79,0.5,0.5,0.5,3.5,0.5,1
80,0.5,0.5,1,2,1.5,0.5
81,0,0,1,4,1.5,0.5
82,0.5,0.5,0.5,2.5,0.5,1
83,0,0,0,3.5,0,0
84,0,0.5,1,1.5,0.5,0.5
85,0,0,0.5,1.5,0,0.5
86,0,0,0.666666667,2.666666667,0.666666667,0