timestamp,Q1-1_PwD-anger,Q1-2_PwD-disgust,Q1-3_PwD-fear,Q1-4_PwD-happiness,Q1-5_PwD-sadness,Q1-6_PwD-surprise,Q2-1_MeD-anger,Q2-2_MeD-disgust,Q2-3_MeD-fear,Q2-4_MeD-hapiness,Q2-5_MeD-sadness,Q2-6_MeD-surprise,Q3-1_OthND-anger,Q3-2_OthND-disgust,Q3-3_OthND-fear,Q3-4_OthND-happiness,Q3-5_OthND-sadness,Q3-6_OthND-surprise,Q4_privateD,Q5_jobD,age,gender
12/10/2023 8:28:10,3,3,3,2,2,3,3,4,4,2,2,4,2,1,0,3,2,2,3,1,48,female
12/10/2023 8:33:14,3,3,4,1,4,3,4,4,4,0,4,4,3,3,3,2,3,3,4,4,47,female
12/10/2023 8:34:41,3,3,4,2,4,3,3,3,4,3,4,4,2,2,2,2,2,2,4,2,56,female
12/10/2023 8:34:43,3,3,4,2,3,2,2,1,2,2,1,3,2,3,4,3,3,3,3,0,55,male
12/10/2023 8:50:16,1,1,3,2,3,1,3,3,4,2,4,2,3,2,1,1,2,2,4,0,57,female
12/10/2023 8:59:11,2,3,4,3,3,1,4,4,4,1,3,2,3,3,2,2,3,2,4,0,48,noAns
12/10/2023 9:05:45,2,2,4,2,3,3,2,2,3,2,3,3,1,1,2,3,1,2,3,4,51,female
12/10/2023 9:09:23,2,2,3,3,3,2,3,3,4,3,4,2,2,1,2,3,3,3,3,0,52,female
12/10/2023 9:12:13,3,3,4,3,3,2,4,4,4,2,2,3,2,2,1,4,2,1,1,1,58,female
12/10/2023 9:15:10,3,3,4,4,3,2,3,3,3,4,2,2,2,2,2,2,2,2,4,3,50,female
12/10/2023 9:23:11,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,4,4,62,male
12/10/2023 9:40:25,2,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,4,4,47,noAns
12/10/2023 9:43:07,3,4,2,2,3,2,4,4,4,1,4,1,3,2,2,3,2,2,2,0,48,female
12/10/2023 9:44:53,3,3,1,4,1,2,3,3,3,1,3,2,4,4,4,2,4,4,4,0,41,noAns
12/10/2023 9:45:23,3,3,4,3,3,4,3,4,4,3,4,4,1,1,1,2,1,2,4,4,44,male
12/10/2023 9:55:08,4,3,4,3,4,4,4,4,4,0,0,4,3,2,1,2,1,1,4,4,49,female
12/10/2023 10:08:41,4,4,4,1,4,4,4,4,4,2,4,4,2,0,1,2,1,1,3,0,21,female
12/10/2023 10:19:57,4,4,3,3,1,4,3,4,4,3,4,4,4,4,1,4,4,4,4,0,42,female
12/10/2023 10:23:01,2,2,2,2,3,2,3,3,3,2,3,2,3,3,3,2,2,2,4,4,66,male
12/10/2023 10:39:13,2,1,3,2,2,3,3,3,4,1,3,4,3,3,4,2,2,1,2,0,49,male
12/10/2023 10:45:58,2,3,4,1,3,2,4,4,4,2,4,2,2,2,2,2,2,2,0,1,49,male
12/10/2023 10:51:08,3,3,3,3,4,2,4,2,2,3,2,3,4,4,4,4,4,3,4,3,37,female
12/10/2023 11:04:29,1,1,1,4,3,1,4,4,1,4,4,1,3,4,4,4,4,3,4,0,79,male
12/10/2023 11:07:42,3,1,3,1,1,3,3,3,3,0,1,3,0,0,0,3,1,0,2,0,41,male
12/10/2023 11:16:45,2,2,3,1,2,3,2,2,3,1,3,3,1,1,1,3,1,1,2,1,43,male
12/10/2023 11:20:47,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,3,38,female
12/10/2023 11:30:09,2,4,4,1,3,3,2,2,2,2,2,2,3,3,3,2,3,3,4,2,62,female
12/10/2023 11:31:27,3,3,4,2,4,3,4,4,4,2,3,3,2,2,3,2,2,3,3,0,42,female
12/10/2023 11:35:34,3,3,4,3,4,3,4,4,3,1,3,4,3,3,2,1,2,1,4,4,45,female
12/10/2023 11:42:00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,57,female
12/10/2023 11:45:08,2,1,2,3,2,3,2,1,1,2,2,3,1,1,0,3,2,2,3,3,37,female
12/10/2023 11:48:10,2,2,4,1,3,4,3,2,4,1,3,2,3,3,3,2,3,2,4,3,63,female
12/10/2023 11:52:18,3,3,4,1,3,2,3,4,4,1,3,4,2,2,2,2,2,1,1,0,48,female
12/10/2023 12:22:29,3,3,4,2,3,4,4,3,4,1,4,4,2,2,1,2,1,1,4,0,48,female
12/10/2023 13:24:12,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,3,4,2,4,0,49,female
12/10/2023 13:35:19,4,4,2,1,1,0,2,2,2,2,2,2,3,3,2,3,3,3,3,1,55,female
12/10/2023 13:55:51,1,2,4,2,4,3,2,2,4,2,4,3,1,1,1,3,1,1,4,2,58,female
12/10/2023 14:18:56,3,1,2,2,4,2,2,3,3,2,3,3,3,1,1,3,3,2,3,3,51,female
12/10/2023 14:21:47,2,0,0,3,3,1,3,3,4,1,3,3,4,3,3,3,3,2,4,0,49,female
12/10/2023 15:10:30,3,3,4,1,2,3,3,3,4,1,2,2,1,1,1,2,1,1,1,2,33,female
12/10/2023 15:13:40,3,2,4,1,2,3,1,2,4,0,3,2,0,1,2,1,1,1,1,0,55,female
12/10/2023 15:16:37,3,3,3,1,2,1,4,3,4,0,1,0,2,2,3,4,3,3,3,3,53,female
12/10/2023 15:22:06,2,2,2,2,2,1,2,2,3,1,3,3,2,2,1,2,2,2,4,2,55,female
12/10/2023 15:23:37,3,2,3,3,3,2,2,3,4,2,4,2,1,1,1,3,3,3,4,0,52,male
12/10/2023 15:27:26,2,3,4,2,4,3,1,3,3,3,2,1,3,1,1,3,2,1,4,0,45,female
12/10/2023 15:29:20,3,4,4,2,4,3,3,4,4,1,4,2,2,2,1,2,2,2,4,0,53,female
12/10/2023 15:35:32,1,3,1,2,1,1,0,1,2,1,0,0,3,3,2,1,2,2,0,0,17,noAns
12/10/2023 15:35:39,1,2,3,1,4,0,2,3,4,0,4,2,3,3,3,2,3,2,4,0,58,female
12/10/2023 15:37:36,2,2,4,1,3,2,4,4,4,0,4,2,1,1,1,2,1,1,4,1,55,female
12/10/2023 15:50:09,4,4,4,2,3,2,3,3,4,0,3,1,3,3,3,3,3,4,1,0,43,female
12/10/2023 15:50:25,2,1,3,2,3,1,3,1,3,1,3,1,4,1,2,3,3,3,4,1,47,male
12/10/2023 16:02:18,1,3,4,0,4,2,3,4,4,0,4,4,1,1,2,3,2,1,3,4,41,male
12/10/2023 16:07:05,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,2,2,1,3,0,46,female
12/10/2023 16:08:42,2,2,3,2,2,2,3,3,3,2,3,3,2,2,2,2,2,2,3,1,49,female
12/10/2023 16:29:33,3,2,3,3,3,3,3,2,4,3,2,3,3,3,4,3,3,4,3,0,47,female
12/10/2023 16:29:45,4,1,4,1,4,0,3,3,3,1,4,0,3,2,2,3,2,3,4,0,55,female
12/10/2023 16:33:49,3,1,3,1,3,4,3,2,2,1,3,4,1,1,1,3,2,2,4,4,49,male
12/10/2023 16:39:04,4,4,3,3,2,1,4,4,4,1,3,0,3,4,3,3,4,4,3,4,32,female
12/10/2023 16:44:37,0,0,2,2,1,2,3,3,3,1,3,3,0,0,0,3,0,0,2,0,50,female
12/10/2023 16:50:29,1,1,2,2,3,1,1,1,2,2,3,1,2,0,0,4,1,4,4,0,61,female
12/10/2023 16:53:03,3,2,3,2,4,4,3,2,4,2,4,4,2,2,1,2,2,1,2,0,60,female
12/10/2023 16:57:54,2,2,4,1,3,2,2,2,3,2,3,2,2,2,3,2,2,2,4,4,61,female
12/10/2023 17:00:13,2,2,4,1,3,1,3,4,4,0,4,4,1,1,1,2,1,1,1,4,45,male
12/10/2023 17:05:00,3,3,4,3,3,3,3,1,4,3,3,3,3,3,3,3,3,3,4,4,34,female
12/10/2023 17:08:43,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,0,0,39,female
12/10/2023 17:17:48,2,2,4,3,3,3,2,2,4,3,4,3,3,3,3,3,3,2,2,0,50,female
12/10/2023 17:20:23,2,2,3,3,2,2,2,2,3,2,3,2,3,3,2,2,3,2,4,1,52,female
12/10/2023 17:39:05,2,2,3,2,3,2,2,2,3,1,3,3,1,1,1,3,1,3,0,4,54,male
12/10/2023 17:40:34,3,3,4,3,3,4,4,3,4,2,3,4,2,1,2,2,2,1,0,3,34,female
12/10/2023 17:51:59,4,3,4,1,2,1,4,4,4,1,1,1,2,2,3,3,3,3,1,4,46,male
12/10/2023 17:55:42,2,1,3,3,1,1,4,4,1,3,1,1,1,1,2,2,1,1,4,1,55,male
12/10/2023 18:16:18,3,3,1,3,2,2,3,3,2,2,2,3,2,1,1,4,2,1,4,4,35,female
12/10/2023 18:19:42,2,2,4,0,4,2,3,3,4,1,3,1,2,2,2,2,2,2,0,0,58,female
12/10/2023 18:27:10,2,2,4,2,2,3,1,1,2,4,1,3,3,3,4,2,4,2,4,4,41,female
12/10/2023 18:44:46,1,3,3,2,4,4,3,4,4,0,4,3,1,0,1,4,1,1,4,2,57,female
12/10/2023 18:53:01,4,3,4,2,2,4,3,3,4,0,4,2,2,2,2,3,2,2,4,0,51,female
12/10/2023 18:59:20,4,4,4,1,1,1,3,3,3,0,1,1,2,3,3,2,3,3,2,0,49,male
12/10/2023 19:00:53,2,2,3,1,4,0,1,0,3,3,4,2,1,0,1,3,1,3,0,4,47,female
12/10/2023 19:08:10,2,2,4,1,3,2,2,3,4,0,4,1,2,1,1,2,1,1,1,0,54,female
12/10/2023 19:19:42,4,4,4,1,4,4,4,4,4,0,4,4,3,2,3,4,3,2,4,0,52,female
12/10/2023 19:23:19,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,2,52,female
12/10/2023 19:36:40,4,4,4,4,4,4,3,3,4,2,4,2,2,2,2,2,2,2,3,1,28,female
12/10/2023 19:37:41,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,58,female
12/10/2023 19:38:39,2,2,3,1,4,1,3,2,4,0,4,4,3,3,3,3,3,3,4,4,49,female
12/10/2023 19:41:40,2,3,3,2,3,2,4,4,4,1,3,2,2,2,3,3,2,4,1,3,52,female
12/10/2023 19:47:57,3,3,4,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,4,0,53,female
12/10/2023 19:50:15,4,4,4,1,3,1,4,3,3,2,3,2,1,1,1,4,1,4,4,4,48,female
12/10/2023 20:03:23,3,3,4,1,4,3,4,4,4,2,2,2,3,1,1,3,2,2,3,0,57,male
12/10/2023 20:11:27,2,2,1,1,1,1,3,2,1,1,2,1,2,2,2,2,2,2,4,0,59,female
12/10/2023 20:16:24,0,0,2,2,2,4,0,0,4,2,2,2,3,3,3,3,3,3,4,0,64,female
12/10/2023 20:25:22,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,0,52,male
12/10/2023 20:35:52,4,4,4,1,1,4,4,4,4,1,4,4,2,2,2,2,2,2,0,4,44,female
12/10/2023 20:59:49,0,2,4,2,2,1,1,4,4,2,3,1,1,3,1,2,3,1,4,2,56,female
12/10/2023 21:00:50,3,4,3,2,3,4,3,2,4,2,2,4,2,1,2,2,1,2,1,4,36,female
12/10/2023 21:17:39,3,3,3,1,3,3,2,1,3,2,3,2,1,1,1,3,2,1,3,1,24,female
12/10/2023 21:22:08,3,2,3,1,3,2,3,1,4,0,4,4,2,3,1,2,2,1,2,1,53,female
12/10/2023 21:36:33,3,2,3,1,3,2,3,3,3,1,3,3,2,3,2,3,3,3,4,2,40,female
12/10/2023 21:53:03,4,4,4,2,4,2,4,4,4,1,4,2,2,2,2,2,2,2,4,0,54,male
12/10/2023 21:56:37,3,3,4,1,4,3,3,4,4,2,4,3,2,2,2,2,2,2,4,0,47,female
12/10/2023 22:19:32,2,1,4,2,3,2,2,3,4,2,4,2,2,2,1,3,1,1,1,4,42,male
12/10/2023 22:41:42,4,4,4,2,2,1,1,1,1,1,1,1,4,4,4,2,4,2,4,0,57,female
12/10/2023 22:44:15,2,4,4,3,3,1,1,4,4,1,4,1,2,2,2,2,2,2,1,4,44,female
12/10/2023 22:46:31,3,4,4,3,3,3,4,4,4,2,4,2,2,2,3,2,3,2,1,0,51,female
12/10/2023 22:56:15,2,2,4,2,3,4,2,3,4,3,4,4,2,2,2,3,2,2,4,4,53,female
12/10/2023 23:25:29,4,4,4,2,3,3,4,4,4,2,4,4,3,3,1,2,2,1,4,4,48,female
12/10/2023 23:56:33,3,2,3,2,2,3,3,3,4,2,3,3,3,3,3,3,3,3,2,0,54,female
12/11/2023 0:12:58,3,3,4,3,4,4,4,1,4,2,2,4,4,3,2,3,2,1,4,0,52,male
12/11/2023 0:22:12,1,2,4,1,2,3,1,4,4,3,3,1,3,3,1,4,2,2,4,4,45,female
12/11/2023 0:36:11,4,4,4,3,3,1,3,3,4,3,3,1,2,2,2,2,2,2,2,0,53,noAns
12/11/2023 0:40:19,1,1,4,2,3,1,2,1,4,1,3,0,3,3,2,4,4,3,4,3,48,female
12/11/2023 1:18:44,0,2,3,2,2,1,3,3,4,1,1,0,3,3,1,2,2,3,4,0,53,female
12/11/2023 1:23:32,4,4,3,1,4,1,4,4,4,0,4,0,3,2,2,4,2,3,2,1,28,female
12/11/2023 2:31:24,1,1,2,2,3,1,3,4,4,1,3,4,4,4,3,3,1,2,4,1,62,male
12/11/2023 3:55:38,3,3,4,2,4,3,3,3,4,3,4,2,2,2,2,3,3,2,0,0,75,female
12/11/2023 6:11:24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,54,female
12/11/2023 6:33:14,1,3,4,4,3,3,1,2,4,2,3,2,2,2,1,2,2,2,4,1,58,female
12/11/2023 6:34:20,4,4,4,1,2,2,2,2,4,3,4,2,2,2,2,2,2,0,4,0,50,female
12/11/2023 7:10:05,1,1,3,3,2,3,3,3,4,1,3,4,2,1,1,2,1,1,4,0,55,female
12/11/2023 7:50:21,2,2,4,2,4,3,3,3,3,2,4,3,3,2,2,2,4,3,1,4,42,female
12/11/2023 8:13:09,3,3,4,2,1,2,3,3,4,2,3,2,2,1,1,3,3,3,4,0,45,female
12/11/2023 8:39:03,2,3,3,3,2,2,3,3,4,3,3,3,2,1,1,3,2,3,4,3,79,male
12/11/2023 8:41:26,3,3,4,4,3,2,2,2,4,2,4,1,2,1,1,2,2,0,4,0,32,female
12/11/2023 9:20:45,4,4,4,1,4,2,4,4,4,2,4,1,2,1,0,3,1,4,4,4,61,female
12/11/2023 10:58:18,3,3,4,2,2,4,3,3,4,2,3,2,2,2,1,2,2,2,4,4,49,male
12/11/2023 11:03:05,3,3,4,3,4,3,3,2,3,3,3,3,3,2,2,3,2,2,4,0,45,female
12/11/2023 11:52:52,2,3,3,1,2,4,2,3,3,2,2,4,2,2,2,2,2,2,2,0,51,male
12/11/2023 12:34:17,2,2,3,2,3,3,2,2,3,2,3,3,3,3,3,1,3,2,4,0,60,female
12/11/2023 12:54:49,2,3,4,2,4,1,3,4,4,1,4,2,2,2,1,3,1,2,4,0,50,female
12/11/2023 13:53:46,2,3,3,1,1,3,1,3,4,1,1,4,1,3,2,3,2,1,1,0,21,female
12/11/2023 15:10:22,2,3,3,2,3,3,3,3,3,1,4,3,2,2,2,2,2,2,4,1,65,female
12/11/2023 17:25:00,1,1,0,3,1,1,1,1,0,2,1,1,2,2,2,2,1,1,4,0,60,male
12/11/2023 17:51:58,3,3,4,2,3,3,3,3,3,2,3,3,2,2,1,3,2,1,3,4,50,female
12/12/2023 7:42:57,3,3,3,3,3,1,2,2,3,2,3,3,1,2,1,2,2,2,0,0,46,female
12/12/2023 8:22:58,2,2,4,4,2,3,3,4,4,2,3,4,2,1,2,3,3,2,4,0,54,female
12/12/2023 9:10:26,3,3,3,2,4,3,3,3,3,2,3,3,2,1,2,3,2,1,3,1,31,female
12/12/2023 9:33:09,4,3,4,2,4,1,2,4,4,3,3,3,2,3,1,4,2,1,4,4,28,female
12/12/2023 9:59:24,3,3,4,2,2,3,2,2,3,2,2,2,3,3,3,2,3,3,4,0,63,male
12/12/2023 10:12:40,3,2,3,2,1,3,4,3,3,1,1,2,2,2,2,1,2,2,1,3,50,male
12/12/2023 10:27:07,3,3,3,0,3,1,2,2,4,1,3,1,3,3,2,3,3,3,4,0,72,male
12/12/2023 11:02:04,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,53,female
12/12/2023 11:24:59,2,1,4,2,3,4,3,2,3,1,3,3,3,3,2,3,2,2,1,0,64,female
12/12/2023 12:06:48,3,4,4,2,2,3,2,4,4,2,4,2,2,1,2,3,2,2,4,3,55,male
12/12/2023 12:10:48,3,3,3,1,1,1,2,3,4,1,1,1,2,2,2,3,3,3,4,1,56,male
12/12/2023 12:15:34,3,3,3,1,3,3,3,3,3,2,3,3,2,2,2,2,2,2,4,0,45,male
12/12/2023 12:28:54,2,3,4,3,4,1,4,4,4,4,4,4,3,3,3,4,4,4,0,0,55,female
12/12/2023 12:49:35,4,3,4,2,4,4,3,3,3,3,4,4,3,3,3,2,2,3,4,2,65,female
12/12/2023 13:45:09,2,2,4,2,3,2,3,2,3,2,3,2,2,2,3,2,3,3,0,0,55,female
12/12/2023 14:10:30,3,4,3,1,2,1,3,4,4,1,2,1,0,2,2,1,2,2,4,0,41,female
12/12/2023 15:37:58,4,4,4,4,4,4,4,4,4,0,4,4,2,2,2,2,2,2,1,0,48,male
12/12/2023 16:15:15,2,2,4,1,4,2,0,0,4,1,4,4,1,1,2,2,2,2,1,0,52,female
12/12/2023 17:30:22,2,3,2,2,3,4,4,4,4,1,3,4,3,3,2,2,3,2,4,2,51,female
12/12/2023 18:53:59,4,3,4,3,2,2,3,3,4,3,2,2,3,3,2,3,2,2,4,4,63,female
12/12/2023 19:06:30,3,3,4,1,4,3,4,4,4,1,3,1,2,1,1,3,1,2,1,0,31,male
12/12/2023 20:03:55,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,45,male
12/12/2023 20:06:39,3,1,3,3,2,3,4,4,4,2,4,4,2,2,2,2,2,2,4,4,60,female
12/12/2023 20:49:43,3,2,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,46,female
12/12/2023 21:27:01,2,2,4,3,1,3,1,1,4,3,1,4,4,3,2,3,3,1,4,4,41,male
12/12/2023 21:43:28,1,1,2,0,2,2,2,2,3,2,3,2,1,1,1,1,1,1,2,0,47,male
12/12/2023 21:59:42,4,3,3,2,4,2,3,3,4,2,4,2,3,1,1,3,2,2,4,0,50,female
12/12/2023 22:21:38,1,2,1,2,1,1,1,1,1,1,1,1,2,3,1,2,1,2,4,3,58,female
12/12/2023 23:08:19,3,2,4,3,3,2,3,3,4,1,4,4,4,4,3,2,4,3,4,0,58,female
12/12/2023 23:25:13,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,0,46,female
12/13/2023 0:29:50,3,3,4,3,4,3,3,2,3,2,2,2,1,2,1,2,2,1,3,1,48,female
12/13/2023 1:13:22,3,3,3,1,3,4,2,4,4,0,2,4,1,2,1,4,1,1,2,0,26,female
12/13/2023 1:22:07,0,1,1,2,1,2,3,2,3,2,2,2,3,3,3,1,3,1,4,1,56,female
12/13/2023 5:56:29,4,4,4,3,3,4,4,4,4,2,4,4,3,2,3,2,3,3,1,4,40,female
12/13/2023 7:14:43,1,1,4,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,1,59,female
12/13/2023 13:07:43,3,1,4,4,2,1,3,0,4,3,3,1,2,1,2,2,2,1,1,3,40,female
12/13/2023 14:04:54,3,3,3,2,3,3,4,4,4,1,4,3,2,2,3,3,1,2,4,4,64,female
12/13/2023 14:33:39,1,1,3,3,3,3,2,4,4,3,2,3,3,1,1,3,2,3,3,1,53,female
12/13/2023 19:23:18,2,4,4,2,4,4,2,4,4,2,4,4,2,2,2,2,2,2,2,2,41,male
12/13/2023 21:07:43,1,1,4,2,2,1,2,2,4,2,2,1,3,3,3,2,3,2,4,0,64,female
12/13/2023 22:30:14,0,1,3,3,1,1,2,2,2,2,2,2,2,2,2,2,3,2,4,0,84,male
12/13/2023 23:07:26,4,0,4,2,2,2,2,1,4,2,3,2,1,1,1,2,1,1,3,3,33,female
12/13/2023 23:37:25,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,4,1,50,female
12/14/2023 13:48:37,3,3,3,2,2,1,3,3,3,2,2,2,1,1,2,2,1,3,3,4,48,female
12/14/2023 15:14:40,2,2,4,3,4,3,4,2,4,1,4,2,2,2,2,4,3,3,0,4,64,female
12/14/2023 18:33:03,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,0,56,female
12/14/2023 21:26:41,1,1,2,1,4,2,2,1,3,1,4,2,2,1,1,1,1,1,4,0,52,female
12/15/2023 20:47:20,4,4,4,2,4,2,2,4,4,2,4,2,2,2,2,2,2,2,4,4,44,female
12/15/2023 22:09:40,2,3,4,2,3,4,4,2,4,1,4,4,2,2,1,3,2,2,4,4,57,female
12/16/2023 7:16:56,4,2,2,1,3,3,4,4,4,1,4,3,1,1,3,4,3,1,4,0,59,female
12/16/2023 10:20:59,1,0,2,2,3,3,2,1,2,2,3,3,3,1,2,2,2,0,3,4,34,female
12/16/2023 13:04:03,3,2,3,2,3,2,3,3,4,2,4,2,0,0,1,2,1,2,4,1,63,female
12/16/2023 13:49:17,2,1,1,2,2,2,4,4,3,1,2,1,3,4,3,2,3,4,4,1,73,male
12/16/2023 15:17:23,3,3,1,3,3,2,3,3,2,3,3,3,2,2,2,3,2,1,3,0,46,female
12/16/2023 15:22:58,4,3,4,1,3,4,4,3,4,2,4,3,2,3,2,3,2,3,2,0,43,female
12/16/2023 15:41:27,4,4,4,2,3,4,4,4,4,0,4,4,3,3,3,1,3,1,1,2,50,male
12/16/2023 16:28:16,2,2,1,2,3,3,4,3,2,2,1,3,2,3,1,2,2,1,4,4,44,male
12/16/2023 17:25:54,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,64,female
12/16/2023 18:19:06,2,4,4,1,3,1,4,4,4,0,4,4,2,2,2,2,2,2,4,4,36,male
12/16/2023 18:25:45,3,2,4,2,3,2,2,3,3,2,4,2,3,2,3,3,2,2,1,4,43,male
12/16/2023 19:31:52,2,2,2,2,1,2,3,3,4,2,3,3,2,2,2,1,2,2,4,0,55,female
12/16/2023 19:47:07,4,4,4,4,4,2,4,4,4,1,4,2,2,2,2,2,2,2,3,3,37,female
12/16/2023 20:04:45,0,2,4,2,2,4,4,4,4,0,2,4,2,2,2,1,3,2,4,1,58,male
12/16/2023 21:10:25,4,4,4,2,4,4,4,4,4,2,4,4,0,1,1,3,4,3,0,0,52,female
12/16/2023 21:21:23,3,4,4,2,3,2,2,3,4,2,4,3,2,2,2,2,2,2,4,0,61,female
12/16/2023 21:39:08,4,4,4,3,3,2,4,4,4,3,2,2,2,2,1,2,2,3,3,4,42,male
12/16/2023 23:11:51,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,3,1,2,2,1,68,female
12/17/2023 1:38:04,4,4,3,4,3,4,4,4,3,3,3,4,3,3,4,4,4,2,4,2,49,female
12/17/2023 2:17:10,4,3,3,3,3,3,2,3,2,3,2,2,3,3,2,2,2,3,3,1,53,female
12/17/2023 10:17:33,3,2,4,2,4,4,3,4,4,2,4,4,2,2,2,2,2,2,3,3,41,male
12/17/2023 13:13:58,2,2,3,2,2,2,3,2,3,3,2,1,2,2,1,2,1,2,3,1,48,female
12/17/2023 13:23:46,3,3,4,1,3,1,4,2,4,2,4,2,3,2,1,2,1,1,1,1,48,male